Year,League,Player,Team,Hits
1955,AL,Al Kaline,Detroit,200.0
1955,NL,Ted Kluszewski,Cincinnati,192.0
1956,AL,Harvey Kuenn,Detroit,196.0
1956,NL,Hank Aaron,Milwaukee,200.0
1957,AL,Nellie Fox,Chicago,196.0
1957,NL,Red Schoendienst,Milwaukee,200.0
1958,AL,Nellie Fox,Chicago,187.0
1958,NL,Richie Ashburn,Philadelphia,215.0
1959,AL,Harvey Kuenn,Detroit,198.0
1959,NL,Hank Aaron,Milwaukee,223.0
1960,AL,Minnie Minoso,Chicago,184.0
1960,NL,Willie Mays,San Francisco,190.0
1961,AL,Norm Cash,Detroit,193.0
1961,NL,Vada Pinson,Cincinnati,208.0
1962,AL,Bobby Richardson,New York,209.0
1962,NL,Tommy Davis,Los Angeles,230.0
1963,AL,Carl Yastrzemski,Boston,183.0
1963,NL,Vada Pinson,Cincinnati,204.0
1964,AL,Tony Oliva,Minnesota,217.0
1964,NL,Roberto Clemente,Pittsburgh,211.0
1965,AL,Tony Oliva,Minnesota,185.0
1965,NL,Pete Rose,Cincinnati,209.0
1966,AL,Tony Oliva,Minnesota,191.0
1966,NL,Felipe Alou,Atlanta,218.0
1967,AL,Carl Yastrzemski,Boston,189.0
1967,NL,Roberto Clemente,Pittsburgh,209.0
1968,AL,Bert Campaneris,Oakland,177.0
1968,NL,Felipe Alou,Atlanta,210.0
1969,AL,Tony Oliva,Minnesota,197.0
1969,NL,Matty Alou,Pittsburgh,231.0
1970,AL,Tony Oliva,Minnesota,204.0
1970,NL,Pete Rose,Cincinnati,205.0
1971,AL,Cesar Tovar,Minnesota,204.0
1971,NL,Joe Torre,St. Louis,230.0
1972,AL,Joe Rudi,Oakland,181.0
1972,NL,Pete Rose,Cincinnati,198.0
1973,AL,Rod Carew,Minnesota,203.0
1973,NL,Pete Rose,Cincinnati,230.0
1974,AL,Rod Carew,Minnesota,218.0
1974,NL,Ralph Garr,Atlanta,214.0
1975,AL,George Brett,Kansas City,195.0
1975,NL,Dave Cash,Philadelphia,213.0
1976,AL,George Brett,Kansas City,215.0
1976,NL,Pete Rose,Cincinnati,215.0
1977,AL,Rod Carew,Minnesota,239.0
1977,NL,Dave Parker,Pittsburgh,215.0
1978,AL,Jim Rice,Boston,213.0
1978,NL,Steve Garvey,Los Angeles,202.0
1979,AL,George Brett,Kansas City,212.0
1979,NL,Garry Templeton,St. Louis,211.0
1980,AL,Willie Wilson,Kansas City,230.0
1980,NL,Steve Garvey,Los Angeles,200.0
1981,AL,Rickey Henderson,Oakland,135.0
1981,NL,Pete Rose,Philadelphia,140.0
1982,AL,Robin Yount,Milwaukee,210.0
1982,NL,Al Oliver,Montreal,204.0
1983,AL,Cal Ripken Jr.,Baltimore,211.0
1983,NL,Jose Cruz,Houston,189.0
1984,AL,Don Mattingly,New York,207.0
1984,NL,Tony Gwynn,San Diego,213.0
1985,AL,Wade Boggs,Boston,240.0
1985,NL,Willie McGee,St. Louis,216.0
1986,AL,Don Mattingly,New York,238.0
1986,NL,Tony Gwynn,San Diego,211.0
1987,AL,Kirby Puckett,Minnesota,207.0
1987,NL,Tony Gwynn,San Diego,218.0
1988,AL,Kirby Puckett,Minnesota,234.0
1988,NL,Andres Galarraga,Montreal,184.0
