Year,League,Player,Team,RBI
1956,AL,Mickey Mantle,New York,130.0
1956,NL,Stan Musial,St. Louis,109.0
1957,AL,Roy Sievers,Washington,114.0
1957,NL,Hank Aaron,Milwaukee,132.0
1958,AL,Jackie Jensen,Boston,122.0
1958,NL,Ernie Banks,Chicago,129.0
1959,AL,Jackie Jensen,Boston,112.0
1959,NL,Ernie Banks,Chicago,143.0
1960,AL,Roger Maris,New York,112.0
1960,NL,Hank Aaron,Milwaukee,126.0
1961,AL,Jim Gentile,Baltimore,141.0
1961,NL,Orlando Cepeda,San Francisco,142.0
1962,AL,Harmon Killebrew,Minnesota,126.0
1962,NL,Tommy Davis,Los Angeles,153.0
1963,AL,Dick Stuart,Boston,118.0
1963,NL,Hank Aaron,Milwaukee,130.0
1964,AL,Brooks Robinson,Baltimore,118.0
1964,NL,Ken Boyer,St. Louis,119.0
1965,AL,Rocky Colavito,Cleveland,108.0
1965,NL,Deron Johnson,Cincinnati,130.0
1966,AL,Frank Robinson,Baltimore,122.0
1966,NL,Hank Aaron,Atlanta,127.0
1967,AL,Carl Yastrzemski,Boston,121.0
1967,NL,Orlando Cepeda,St. Louis,111.0
1968,AL,Ken Harrelson,Boston,109.0
1968,NL,Willie McCovey,San Francisco,105.0
1969,AL,Harmon Killebrew,Minnesota,140.0
1969,NL,Willie McCovey,San Francisco,126.0
1970,AL,Frank Howard,Washington,126.0
1970,NL,Johnny Bench,Cincinnati,148.0
1971,AL,Harmon Killebrew,Minnesota,119.0
1971,NL,Joe Torre,St. Louis,137.0
1972,AL,Dick Allen,Chicago,113.0
1972,NL,Johnny Bench,Cincinnati,125.0
1973,AL,Reggie Jackson,Oakland,117.0
1973,NL,Willie Stargell,Pittsburgh,119.0
1974,AL,Jeff Burroughs,Texas,118.0
1974,NL,Johnny Bench,Cincinnati,129.0
1975,AL,George Scott,Milwaukee,109.0
1975,NL,Greg Luzinski,Philadelphia,120.0
1976,AL,Lee May,Baltimore,109.0
1976,NL,George Foster,Cincinnati,121.0
1977,AL,Larry Hisle,Minnesota,119.0
1977,NL,George Foster,Cincinnati,149.0
1978,AL,Jim Rice,Boston,139.0
1978,NL,George Foster,Cincinnati,120.0
1979,AL,Don Baylor,California,139.0
1979,NL,Dave Winfield,San Diego,118.0
1980,AL,Cecil Cooper,Milwaukee,122.0
1980,NL,Mike Schmidt,Philadelphia,121.0
1981,AL,Eddie Murray,Baltimore,78.0
1981,NL,Mike Schmidt,Philadelphia,91.0
1982,AL,Hal McRae,Kansas City,133.0
1982,NL,Dale Murphy,Atlanta,109.0
1983,AL,Cecil Cooper,Milwaukee,126.0
1983,NL,Dale Murphy,Atlanta,121.0
1984,AL,Tony Armas,Boston,123.0
1984,NL,Gary Carter,Montreal,106.0
1985,AL,Don Mattingly,New York,145.0
1985,NL,Dave Parker,Cincinnati,125.0
1986,AL,Joe Carter,Cleveland,121.0
1986,NL,Mike Schmidt,Philadelphia,119.0
1987,AL,George Bell,Toronto,134.0
1987,NL,Andre Dawson,Chicago,137.0
1988,AL,Jose Canseco,Oakland,124.0
1988,NL,Will Clark,San Francisco,109.0
1989,AL,Ruben Sierra,Texas,119.0
1989,NL,Kevin Mitchell,San Francisco,125.0
1990,AL,Cecil Fielder,Detroit,132.0
1990,NL,Matt Williams,San Francisco,122.0
1991,AL,Cecil Fielder,Detroit,133.0
1991,NL,Howard Johnson,New York,117.0
1992,AL,Cecil Fielder,Detroit,124.0
1992,NL,Darren Daulton,Philadelphia,109.0
1993,AL,Albert Belle,Cleveland,129.0
1993,NL,Barry Bonds,San Francisco,123.0
1994,AL,Kirby Puckett,Minnesota,112.0
1994,NL,Jeff Bagwell,Houston,116.0
1995,AL,Albert Belle,Cleveland,126.0
1995,NL,Dante Bichette,Colorado,128.0
1996,AL,Albert Belle,Cleveland,148.0
1996,NL,Andres Galarraga,Colorado,150.0
1997,AL,"Ken Griffey, Jr.",Seattle,147.0
1997,NL,Andres Galarraga,Colorado,140.0
1998,AL,Juan Gonzalez,Texas,157.0
1998,NL,Sammy Sosa,Chicago,158.0
1999,AL,Manny Ramirez,Cleveland,165.0
1999,NL,Mark McGwire,St. Louis,147.0
2000,AL,Edgar Martinez,Seattle,145.0
2000,NL,Todd Helton,Colorado,147.0
2001,AL,Bret Boone,Seattle,141.0
2001,NL,Sammy Sosa,Chicago,160.0
2002,AL,Alex Rodriguez,Texas,142.0
2002,NL,Lance Berkman,Houston,128.0
2003,AL,Carlos Delgado,Toronto,145.0
2003,NL,Preston Wilson,Colorado,141.0
2004,AL,Miguel Tejada,Baltimore,150.0
2004,NL,Vinny Castilla,Colorado,131.0
2005,AL,David Ortiz,Boston,148.0
2005,NL,Andruw Jones,Atlanta,128.0
2006,AL,David Ortiz,Boston,137.0
2006,NL,Ryan Howard,Philadelphia,149.0
2007,AL,Alex Rodriguez,New York,156.0
2007,NL,Matt Holliday,Colorado,137.0
2008,AL,Josh Hamilton,Texas,130.0
2008,NL,Ryan Howard,Philadelphia,146.0
2009,AL,Mark Teixeira,New York,122.0
2009,NL,Prince Fielder,Milwaukee,141.0
2010,AL,Miguel Cabrera,Detroit,126.0
2010,NL,Albert Pujols,St. Louis,118.0
2011,AL,Curtis Granderson,New York,119.0
2011,NL,Matt Kemp,Los Angeles,126.0
2012,AL,Miguel Cabrera,Detroit,139.0
2012,NL,Chase Headley,San Diego,115.0
2013,AL,Chris Davis,Baltimore,138.0
2013,NL,Paul Goldschmidt,Arizona,125.0
2014,AL,Mike Trout,Los Angeles,111.0
2014,NL,Adrian Gonzalez,Los Angeles,116.0
2015,AL,Josh Donaldson,Toronto,123.0
2015,NL,Nolan Arenado,Colorado,130.0
2016,AL,Edwin Encarnacion,Toronto,127.0
2016,NL,Nolan Arenado,Colorado,133.0
2017,AL,Nelson Cruz,Seattle,119.0
2017,NL,Giancarlo Stanton,Miami,132.0
2018,AL,J.D. Martinez,Boston,130.0
2018,NL,Javier Báez,Chicago,111.0
2019,AL,José Abreu,Chicago,123.0
2019,NL,Anthony Rendon,Washington,126.0
2020,AL,José Abreu,Chicago,60.0
2020,NL,Marcell Ozuna,Atlanta,56.0
2021,AL,Salvador Perez,Kansas City,121.0
2021,NL,Adam Duvall,Atlanta,113.0
2022,AL,Aaron Judge,New York,131.0
2022,NL,Pete Alonso,New York,131.0
2023,AL,Kyle Tucker,Houston,112.0
2023,NL,Matt Olson,Atlanta,139.0
2024,AL,Aaron Judge,New York,144.0
2024,NL,Shohei Ohtani,Los Angeles,130.0
2025,AL,Aaron Judge,New York,60.0
2025,NL,Pete Alonso,New York,63.0
