Year,League,Player,Team,Batting Average
1955,AL,Al Kaline,Detroit,0.34
1955,NL,Richie Ashburn,Philadelphia,0.338
1956,AL,Mickey Mantle,New York,0.353
1956,NL,Hank Aaron,Milwaukee,0.328
1957,AL,Ted Williams,Boston,0.388
1957,NL,Stan Musial,St. Louis,0.351
1958,AL,Ted Williams,Boston,0.328
1958,NL,Richie Ashburn,Philadelphia,0.35
1959,AL,Harvey Kuenn,Detroit,0.353
1959,NL,Hank Aaron,Milwaukee,0.355
1960,AL,Pete Runnels,Boston,0.32
1960,NL,Dick Groat,Pittsburgh,0.325
1961,AL,Norm Cash,Detroit,0.361
1961,NL,Roberto Clemente,Pittsburgh,0.351
1962,AL,Pete Runnels,Boston,0.326
1962,NL,Tommy Davis,Los Angeles,0.346
1963,AL,Carl Yastrzemski,Boston,0.321
1963,NL,Tommy Davis,Los Angeles,0.326
1964,AL,Tony Oliva,Minnesota,0.323
1964,NL,Roberto Clemente,Pittsburgh,0.339
1965,AL,Tony Oliva,Minnesota,0.321
1965,NL,Roberto Clemente,Pittsburgh,0.329
1966,AL,Frank Robinson,Baltimore,0.316
1966,NL,Matty Alou,Pittsburgh,0.342
1967,AL,Carl Yastrzemski,Boston,0.326
1967,NL,Roberto Clemente,Pittsburgh,0.357
1968,AL,Carl Yastrzemski,Boston,0.301
1968,NL,Pete Rose,Cincinnati,0.335
1969,AL,Rod Carew,Minnesota,0.332
1969,NL,Pete Rose,Cincinnati,0.348
1970,AL,Alex Johnson,California,0.329
1970,NL,Rico Carty,Atlanta,0.366
1971,AL,Tony Oliva,Minnesota,0.337
1971,NL,Joe Torre,St. Louis,0.363
1972,AL,Rod Carew,Minnesota,0.318
1972,NL,Billy Williams,Chicago,0.333
1973,AL,Rod Carew,Minnesota,0.35
1973,NL,Pete Rose,Cincinnati,0.338
1974,AL,Rod Carew,Minnesota,0.364
1974,NL,Ralph Garr,Atlanta,0.353
1975,AL,Rod Carew,Minnesota,0.359
1975,NL,Bill Madlock,Chicago,0.354
1976,AL,George Brett,Kansas City,0.333
1976,NL,Bill Madlock,Chicago,0.339
1977,AL,Rod Carew,Minnesota,0.388
1977,NL,Dave Parker,Pittsburgh,0.338
1978,AL,Rod Carew,Minnesota,0.333
1978,NL,Dave Parker,Pittsburgh,0.334
1979,AL,Fred Lynn,Boston,0.333
1979,NL,Keith Hernandez,St. Louis,0.344
1980,AL,George Brett,Kansas City,0.39
1980,NL,Bill Buckner,Chicago,0.324
1981,AL,Carney Lansford,Boston,0.336
1981,NL,Bill Madlock,Pittsburgh,0.341
1982,AL,Willie Wilson,Kansas City,0.332
1982,NL,Al Oliver,Montreal,0.331
1983,AL,Wade Boggs,Boston,0.361
1983,NL,Bill Madlock,Pittsburgh,0.323
1984,AL,Don Mattingly,New York,0.343
1984,NL,Tony Gwynn,San Diego,0.351
1985,AL,Wade Boggs,Boston,0.368
1985,NL,Willie McGee,St. Louis,0.353
1986,AL,Wade Boggs,Boston,0.357
1986,NL,Tim Raines,Montreal,0.334
1987,AL,Wade Boggs,Boston,0.363
1987,NL,Tony Gwynn,San Diego,0.37
1988,AL,Wade Boggs,Boston,0.366
1988,NL,Tony Gwynn,San Diego,0.313
1989,AL,Kirby Puckett,Minnesota,0.339
1989,NL,Tony Gwynn,San Diego,0.336
1990,AL,George Brett,Kansas City,0.329
1990,NL,Eddie Murray,Los Angeles,0.33
1991,AL,Julio Franco,Texas,0.341
1991,NL,Terry Pendleton,Atlanta,0.319
1992,AL,Edgar Martinez,Seattle,0.343
1992,NL,Gary Sheffield,San Diego,0.33
1993,AL,John Olerud,Toronto,0.363
1993,NL,Andres Galarraga,Colorado,0.37
1994,AL,Paul O'Neill,New York,0.359
1994,NL,Tony Gwynn,San Diego,0.394
1995,AL,Edgar Martinez,Seattle,0.356
1995,NL,Tony Gwynn,San Diego,0.368
1996,AL,Alex Rodriguez,Seattle,0.358
1996,NL,Tony Gwynn,San Diego,0.353
1997,AL,Frank Thomas,Chicago,0.347
1997,NL,Tony Gwynn,San Diego,0.372
1998,AL,Bernie Williams,New York,0.339
1998,NL,Larry Walker,Colorado,0.363
1999,AL,Nomar Garciaparra,Boston,0.357
1999,NL,Larry Walker,Colorado,0.379
2000,AL,Nomar Garciaparra,Boston,0.372
2000,NL,Todd Helton,Colorado,0.372
2001,AL,Ichiro Suzuki,Seattle,0.35
2001,NL,Larry Walker,Colorado,0.35
2002,AL,Manny Ramirez,Boston,0.349
2002,NL,Barry Bonds,San Francisco,0.37
2003,AL,Bill Mueller,Boston,0.326
2003,NL,Albert Pujols,St. Louis,0.359
2004,AL,Ichiro Suzuki,Seattle,0.372
2004,NL,Barry Bonds,San Francisco,0.362
2005,AL,Michael Young,Texas,0.331
2005,NL,Derrek Lee,Chicago,0.335
2006,AL,Joe Mauer,Minnesota,0.347
2006,NL,Freddy Sanchez,Pittsburgh,0.344
2007,AL,Magglio Ordonez,Detroit,0.363
2007,NL,Matt Holliday,Colorado,0.34
2008,AL,Joe Mauer,Minnesota,0.328
2008,NL,Chipper Jones,Atlanta,0.364
2009,AL,Joe Mauer,Minnesota,0.365
2009,NL,Hanley Ramirez,Florida,0.342
2010,AL,Josh Hamilton,Texas,0.359
2010,NL,Carlos González,Colorado,0.336
2011,AL,Miguel Cabrera,Detroit,0.344
2011,NL,Jose Reyes,New York,0.337
2012,AL,Miguel Cabrera,Detroit,0.33
2012,NL,Buster Posey,San Francisco,0.336
2013,AL,Miguel Cabrera,Detroit,0.348
2013,NL,Michael Cuddyer,Colorado,0.331
2014,AL,Jose Altuve,Houston,0.341
2014,NL,Justin Morneau,Colorado,0.319
2015,AL,Miguel Cabrera,Detroit,0.338
2015,NL,Dee Strange-Gordon,Miami,0.333
2016,AL,Jose Altuve,Houston,0.338
2016,NL,DJ LeMahieu,Colorado,0.348
2017,AL,Jose Altuve,Houston,0.346
2017,NL,Charlie Blackmon,Colorado,0.331
2018,AL,Mookie Betts,Boston,0.346
2018,NL,Christian Yelich,Milwaukee,0.326
2019,AL,Tim Anderson,Chicago,0.335
2019,NL,Christian Yelich,Milwaukee,0.329
2020,AL,DJ LeMahieu,New York,0.364
2020,NL,Juan Soto,Washington,0.351
2021,AL,Yuli Gurriel,Houston,0.319
2021,NL,Trea Turner,Los Angeles,0.328
2022,AL,Luis Arraez,Minnesota,0.316
2022,NL,Jeff McNeil,New York,0.326
2023,AL,Yandy Díaz,Tampa Bay,0.33
2023,NL,Luis Arraez,Miami,0.354
2024,AL,Bobby Witt Jr.,Kansas City,0.332
2024,NL,Luis Arraez,Miami,0.314
