Year,League,Player,Team,Total Bases
1955,AL,Al Kaline,Detroit,321.0
1955,NL,Willie Mays,New York,382.0
1956,AL,Mickey Mantle,New York,376.0
1956,NL,Hank Aaron,Milwaukee,340.0
1957,AL,Roy Sievers,Washington,331.0
1957,NL,Hank Aaron,Milwaukee,369.0
1958,AL,Mickey Mantle,New York,307.0
1958,NL,Ernie Banks,Chicago,379.0
1959,AL,Rocky Colavito,Cleveland,301.0
1959,NL,Hank Aaron,Milwaukee,400.0
1960,AL,Mickey Mantle,New York,294.0
1960,NL,Hank Aaron,Milwaukee,334.0
1961,AL,Roger Maris,New York,366.0
1961,NL,Hank Aaron,Milwaukee,358.0
1962,AL,Rocky Colavito,Detroit,309.0
1962,NL,Willie Mays,San Francisco,382.0
1963,AL,Dick Stuart,Boston,319.0
1963,NL,Hank Aaron,Milwaukee,370.0
1964,AL,Tony Oliva,Minnesota,374.0
1964,NL,Dick Allen,Philadelphia,352.0
1965,AL,Zoilo Versalles,Minnesota,308.0
1965,NL,Willie Mays,San Francisco,360.0
1966,AL,Frank Robinson,Baltimore,367.0
1966,NL,Felipe Alou,Atlanta,355.0
1967,AL,Carl Yastrzemski,Boston,360.0
1967,NL,Hank Aaron,Atlanta,344.0
1968,AL,Frank Howard,Washington,330.0
1968,NL,Billy Williams,Chicago,321.0
1969,AL,Frank Howard,Washington,340.0
1969,NL,Hank Aaron,Atlanta,332.0
1970,AL,Carl Yastrzemski,Boston,335.0
1970,NL,Billy Williams,Chicago,373.0
1971,AL,Reggie Smith,Boston,302.0
1971,NL,Joe Torre,St. Louis,352.0
1972,AL,Bobby Murcer,New York,314.0
1972,NL,Billy Williams,Chicago,348.0
1973,AL,Sal Bando,Oakland,295.0
1973,NL,Bobby Bonds,San Francisco,341.0
1974,AL,Joe Rudi,Oakland,287.0
1974,NL,Johnny Bench,Cincinnati,315.0
1975,AL,George Scott,Milwaukee,318.0
1975,NL,Greg Luzinski,Philadelphia,322.0
1976,AL,George Brett,Kansas City,298.0
1976,NL,Mike Schmidt,Philadelphia,306.0
1977,AL,Jim Rice,Boston,382.0
1977,NL,George Foster,Cincinnati,388.0
1978,AL,Jim Rice,Boston,406.0
1978,NL,Dave Parker,Pittsburgh,340.0
1979,AL,Jim Rice,Boston,369.0
1979,NL,Dave Winfield,San Diego,333.0
1980,AL,Cecil Cooper,Milwaukee,335.0
1980,NL,Mike Schmidt,Philadelphia,342.0
1981,AL,Dwight Evans,Boston,215.0
1981,NL,Mike Schmidt,Philadelphia,228.0
1982,AL,Robin Yount,Milwaukee,367.0
1982,NL,Al Oliver,Montreal,317.0
1983,AL,Jim Rice,Boston,344.0
1983,NL,Andre Dawson,Montreal,341.0
1984,AL,Tony Armas,Boston,339.0
1984,NL,Dale Murphy,Atlanta,332.0
1985,AL,Don Mattingly,New York,370.0
1985,NL,Dave Parker,Cincinnati,350.0
1986,AL,Don Mattingly,New York,388.0
1986,NL,Dave Parker,Cincinnati,304.0
1987,AL,George Bell,Toronto,369.0
1987,NL,Andre Dawson,Chicago,353.0
1988,AL,Kirby Puckett,Minnesota,358.0
1988,NL,Andres Galarraga,Montreal,329.0
1989,AL,Ruben Sierra,Texas,344.0
1989,NL,Kevin Mitchell,San Francisco,345.0
1990,AL,Cecil Fielder,Detroit,339.0
1990,NL,Ryne Sandberg,Chicago,344.0
1991,AL,Cal Ripken Jr.,Baltimore,368.0
1991,NL,Will Clark,San Francisco,303.0
1992,AL,Kirby Puckett,Minnesota,313.0
1992,NL,Gary Sheffield,San Diego,323.0
1993,AL,"Ken Griffey, Jr.",Seattle,359.0
1993,NL,Barry Bonds,San Francisco,365.0
1994,AL,Albert Belle,Cleveland,294.0
1994,NL,Jeff Bagwell,Houston,300.0
1995,AL,Albert Belle,Cleveland,377.0
1995,NL,Dante Bichette,Colorado,359.0
