Year,League,Player,Team,Slugging Average
1955,NL,Willie Mays,New York,0.659
1956,AL,Mickey Mantle,New York,0.705
1956,NL,Duke Snider,Brooklyn,0.598
1957,AL,Ted Williams,Boston,0.731
1957,NL,Willie Mays,New York,0.626
1958,AL,Rocky Colavito,Cleveland,0.62
1958,NL,Ernie Banks,Chicago,0.614
1959,AL,Al Kaline,Detroit,0.53
1959,NL,Hank Aaron,Milwaukee,0.636
1960,AL,Roger Maris,New York,0.581
1960,NL,Frank Robinson,Cincinnati,0.595
1961,AL,Mickey Mantle,New York,0.687
1961,NL,Frank Robinson,Cincinnati,0.611
1962,AL,Mickey Mantle,New York,0.605
1962,NL,Frank Robinson,Cincinnati,0.624
1963,AL,Harmon Killebrew,Minnesota,0.555
1963,NL,Hank Aaron,Milwaukee,0.586
1964,AL,Boog Powell,Baltimore,0.606
1964,NL,Willie Mays,San Francisco,0.607
1965,AL,Carl Yastrzemski,Boston,0.536
1965,NL,Willie Mays,San Francisco,0.645
1966,AL,Frank Robinson,Baltimore,0.637
1966,NL,Dick Allen,Philadelphia,0.632
1967,AL,Carl Yastrzemski,Boston,0.622
1967,NL,Hank Aaron,Atlanta,0.573
1968,AL,Frank Howard,Washington,0.552
1968,NL,Willie McCovey,San Francisco,0.545
1969,AL,Reggie Jackson,Oakland,0.608
1969,NL,Willie McCovey,San Francisco,0.656
1970,AL,Carl Yastrzemski,Boston,0.592
1970,NL,Willie McCovey,San Francisco,0.612
1971,AL,Tony Oliva,Minnesota,0.546
1971,NL,Hank Aaron,Atlanta,0.669
1972,AL,Dick Allen,Chicago,0.603
1972,NL,Billy Williams,Chicago,0.606
1973,AL,Reggie Jackson,Oakland,0.531
1973,NL,Willie Stargell,Pittsburgh,0.646
1974,AL,Dick Allen,Chicago,0.563
1974,NL,Mike Schmidt,Philadelphia,0.546
1975,AL,Fred Lynn,Boston,0.566
1975,NL,Dave Parker,Pittsburgh,0.541
1976,AL,Reggie Jackson,Baltimore,0.502
1976,NL,Joe Morgan,Cincinnati,0.576
1977,AL,Jim Rice,Boston,0.593
1977,NL,George Foster,Cincinnati,0.631
1978,AL,Jim Rice,Boston,0.6
1978,NL,Dave Parker,Pittsburgh,0.585
1979,AL,Fred Lynn,Boston,0.637
1979,NL,Dave Kingman,Chicago,0.613
1980,AL,George Brett,Kansas City,0.664
1980,NL,Mike Schmidt,Philadelphia,0.624
1981,AL,Bobby Grich,California,0.543
1981,NL,Mike Schmidt,Philadelphia,0.644
1982,AL,Robin Yount,Milwaukee,0.578
1982,NL,Mike Schmidt,Philadelphia,0.547
1983,AL,George Brett,Kansas City,0.562
1983,NL,Dale Murphy,Atlanta,0.54
1984,AL,Harold Baines,Chicago,0.541
1984,NL,Dale Murphy,Atlanta,0.547
1985,AL,George Brett,Kansas City,0.585
1985,NL,Pedro Guerrero,Los Angeles,0.577
1986,AL,Don Mattingly,New York,0.573
1986,NL,Mike Schmidt,Philadelphia,0.547
1987,AL,Mark McGwire,Oakland,0.618
1987,NL,Jack Clark,St. Louis,0.597
1988,AL,Jose Canseco,Oakland,0.569
1988,NL,Darryl Strawberry,New York,0.545
1989,AL,Ruben Sierra,Texas,0.543
1989,NL,Kevin Mitchell,San Francisco,0.635
1990,AL,Cecil Fielder,Detroit,0.592
1990,NL,Barry Bonds,Pittsburgh,0.565
1991,AL,Danny Tartabull,Kansas City,0.593
1991,NL,Will Clark,San Francisco,0.536
1992,AL,Mark McGwire,Oakland,0.585
1992,NL,Barry Bonds,Pittsburgh,0.624
1993,AL,Juan Gonzalez,Texas,0.632
1993,NL,Barry Bonds,San Francisco,0.677
1994,AL,Frank Thomas,Chicago,0.729
1994,NL,Jeff Bagwell,Houston,0.75
1995,AL,Albert Belle,Cleveland,0.69
1995,NL,Dante Bichette,Colorado,0.62
1996,AL,Mark McGwire,Oakland,0.73
1996,NL,Ellis Burks,Colorado,0.639
1997,AL,"Ken Griffey, Jr.",Seattle,0.646
1997,NL,Larry Walker,Colorado,0.72
1998,AL,Albert Belle,Chicago,0.655
1998,NL,Mark McGwire,St. Louis,0.752
1999,AL,Manny Ramirez,Cleveland,0.663
1999,NL,Larry Walker,Colorado,0.71
2000,AL,Manny Ramirez,Cleveland,0.697
2000,NL,Todd Helton,Colorado,0.698
2001,AL,Jason Giambi,Oakland,0.66
2001,NL,Barry Bonds,San Francisco,0.863
2002,AL,Jim Thome,Cleveland,0.677
2002,NL,Barry Bonds,San Francisco,0.799
2003,AL,Alex Rodriguez,Texas,0.6
2003,NL,Barry Bonds,San Francisco,0.749
2004,AL,Manny Ramirez,Boston,0.613
2004,NL,Barry Bonds,San Francisco,0.812
2005,AL,Alex Rodriguez,New York,0.61
2005,NL,Derrek Lee,Chicago,0.662
2006,AL,Travis Hafner,Cleveland,0.659
2006,NL,Albert Pujols,St. Louis,0.671
2007,AL,Alex Rodriguez,New York,0.645
2007,NL,Ryan Braun,Milwaukee,0.634
2008,AL,Alex Rodriguez,New York,0.573
2008,NL,Albert Pujols,St. Louis,0.653
2009,AL,Joe Mauer,Minnesota,0.587
2009,NL,Albert Pujols,St. Louis,0.658
2010,AL,Josh Hamilton,Texas,0.633
2010,NL,Joey Votto,Cincinnati,0.6
2011,AL,Mike Napoli,Texas,0.631
2011,NL,Ryan Braun,Milwaukee,0.597
2012,AL,Miguel Cabrera,Detroit,0.606
2012,NL,Giancarlo Stanton,Miami,0.608
2013,AL,Miguel Cabrera,Detroit,0.636
2013,NL,Carlos González,Colorado,0.591
2014,AL,José Abreu,Chicago,0.581
2014,NL,Corey Dickerson,Colorado,0.567
2015,AL,Mike Trout,Los Angeles,0.59
2015,NL,Bryce Harper,Washington,0.649
2016,AL,David Ortiz,Boston,0.62
2016,NL,Daniel Murphy,Washington,0.595
2017,AL,Mike Trout,Los Angeles,0.629
2017,NL,Giancarlo Stanton,Miami,0.631
2018,AL,Mookie Betts,Boston,0.64
2018,NL,Christian Yelich,Milwaukee,0.598
2019,AL,Mike Trout,Los Angeles,0.645
2019,NL,Christian Yelich,Milwaukee,0.671
2020,AL,Jose Abreu,Chicago,0.617
2020,NL,Juan Soto,Washington,0.695
2021,AL,Vladimir Guerrero Jr.,Toronto,0.601
2021,NL,Bryce Harper,Philadelphia,0.615
2022,AL,Aaron Judge,New York,0.686
2022,NL,Paul Goldschmidt,St. Louis,0.578
2023,AL,Shohei Ohtani,Los Angeles,0.654
2023,NL,Matt Olson,Atlanta,0.604
2024,AL,Aaron Judge,New York,0.701
2024,NL,Shohei Ohtani,Los Angeles,0.646
