Year,League,Player,Team,Base on Balls
1950,AL,Eddie Yost,Washington,141.0
1950,NL,Eddie Stanky,New York,144.0
1951,AL,Ted Williams,Boston,144.0
1951,NL,Ralph Kiner,Pittsburgh,137.0
1952,AL,Eddie Yost,Washington,129.0
1952,NL,Ralph Kiner,Pittsburgh,110.0
1953,AL,Eddie Yost,Washington,123.0
1953,NL,Stan Musial,St. Louis,105.0
1954,AL,Ted Williams,Boston,136.0
1954,NL,Richie Ashburn,Philadelphia,125.0
1955,AL,Mickey Mantle,New York,113.0
1955,NL,Eddie Mathews,Milwaukee,109.0
1956,AL,Eddie Yost,Washington,151.0
1956,NL,Duke Snider,Brooklyn,99.0
1957,AL,Mickey Mantle,New York,146.0
1957,NL,Richie Ashburn,Philadelphia,94.0
1958,AL,Mickey Mantle,New York,129.0
1958,NL,Richie Ashburn,Philadelphia,97.0
1959,AL,Eddie Yost,Detroit,135.0
1959,NL,Jim Gilliam,Los Angeles,96.0
1960,AL,Eddie Yost,Detroit,125.0
1960,NL,Richie Ashburn,Chicago,116.0
1961,AL,Mickey Mantle,New York,126.0
1961,NL,Eddie Mathews,Milwaukee,93.0
1962,AL,Mickey Mantle,New York,122.0
1962,NL,Eddie Mathews,Milwaukee,101.0
1963,AL,Carl Yastrzemski,Boston,95.0
1963,NL,Eddie Mathews,Milwaukee,124.0
1964,AL,Norm Siebern,Baltimore,106.0
1964,NL,Ron Santo,Chicago,86.0
1965,AL,Rocky Colavito,Cleveland,93.0
1965,NL,Joe Morgan,Houston,97.0
1966,AL,Harmon Killebrew,Minnesota,103.0
1966,NL,Ron Santo,Chicago,95.0
1967,AL,Harmon Killebrew,Minnesota,131.0
1967,NL,Ron Santo,Chicago,96.0
1968,AL,Carl Yastrzemski,Boston,119.0
1968,NL,Ron Santo,Chicago,96.0
1969,AL,Harmon Killebrew,Minnesota,145.0
1969,NL,Jimmy Wynn,Houston,148.0
1970,AL,Frank Howard,Washington,132.0
1970,NL,Willie McCovey,San Francisco,137.0
1971,AL,Harmon Killebrew,Minnesota,114.0
1971,NL,Willie Mays,San Francisco,112.0
1972,AL,Dick Allen,Chicago,99.0
1972,NL,Joe Morgan,Cincinnati,115.0
1973,AL,John Mayberry,Kansas City,122.0
1973,NL,Darrell Evans,Atlanta,124.0
1974,AL,Gene Tenace,Oakland,110.0
1974,NL,Darrell Evans,Atlanta,126.0
1975,AL,John Mayberry,Kansas City,119.0
1975,NL,Joe Morgan,Cincinnati,132.0
1976,AL,Mike Hargrove,Texas,97.0
1976,NL,Jimmy Wynn,Atlanta,127.0
1977,AL,Toby Harrah,Texas,109.0
1977,NL,Gene Tenace,San Diego,125.0
1978,AL,Mike Hargrove,Texas,107.0
1978,NL,Jeff Burroughs,Atlanta,117.0
1979,AL,Darrell Porter,Kansas City,121.0
1979,NL,Mike Schmidt,Philadelphia,120.0
1980,AL,Willie Randolph,New York,119.0
1980,NL,Dan Driessen,Cincinnati,93.0
1981,AL,Dwight Evans,Boston,85.0
1981,NL,Mike Schmidt,Philadelphia,73.0
1982,AL,Rickey Henderson,Oakland,116.0
1982,NL,Mike Schmidt,Philadelphia,107.0
1983,AL,Rickey Henderson,Oakland,103.0
1983,NL,Mike Schmidt,Philadelphia,128.0
1984,AL,Eddie Murray,Baltimore,107.0
1984,NL,Gary Matthews,Chicago,103.0
1985,AL,Dwight Evans,Boston,114.0
1985,NL,Dale Murphy,Atlanta,90.0
1986,AL,Wade Boggs,Boston,105.0
1986,NL,Keith Hernandez,New York,94.0
1987,AL,Brian Downing,California,106.0
1987,NL,Jack Clark,St. Louis,136.0
1988,AL,Wade Boggs,Boston,125.0
1988,NL,Will Clark,San Francisco,100.0
1989,AL,Rickey Henderson,New York,126.0
1989,NL,Jack Clark,San Diego,132.0
1990,AL,Mark McGwire,Oakland,110.0
1990,NL,Jack Clark,San Diego,104.0
1991,AL,Frank Thomas,Chicago,138.0
1991,NL,Brett Butler,Los Angeles,108.0
1992,AL,Mickey Tettleton,Detroit,122.0
1992,NL,Barry Bonds,Pittsburgh,127.0
1993,AL,Tony Phillips,Detroit,132.0
1993,NL,Lenny Dykstra,Philadelphia,129.0
1994,AL,Frank Thomas,Chicago,109.0
1994,NL,Barry Bonds,San Francisco,74.0
1995,AL,Frank Thomas,Chicago,136.0
1995,NL,Barry Bonds,San Francisco,120.0
1996,AL,Tony Phillips,Chicago,125.0
1996,NL,Barry Bonds,San Francisco,151.0
1997,AL,Jim Thome,Cleveland,120.0
1997,NL,Barry Bonds,San Francisco,145.0
1998,AL,Rickey Henderson,Oakland,118.0
1998,NL,Mark McGwire,St. Louis,162.0
1999,AL,Jim Thome,Cleveland,127.0
1999,NL,Jeff Bagwell,Houston,149.0
2000,AL,Jason Giambi,Oakland,137.0
2000,NL,Barry Bonds,San Francisco,117.0
2001,AL,Jason Giambi,Oakland,129.0
2001,NL,Barry Bonds,San Francisco,177.0
2002,AL,Jim Thome,Cleveland,122.0
2002,NL,Barry Bonds,San Francisco,198.0
2003,AL,Jason Giambi,New York,129.0
2003,NL,Barry Bonds,San Francisco,148.0
2004,AL,Eric Chavez,Oakland,95.0
2004,NL,Barry Bonds,San Francisco,232.0
2005,AL,Jason Giambi,New York,108.0
2005,NL,Brian Giles,San Diego,119.0
2006,AL,David Ortiz,Boston,119.0
2006,NL,Barry Bonds,San Francisco,115.0
2007,AL,David Ortiz,Boston,111.0
2007,NL,Barry Bonds,San Francisco,132.0
2008,AL,Jack Cust,Oakland,111.0
2008,NL,Adam Dunn,Arizona,122.0
2009,AL,Chone Figgins,Los Angeles,101.0
2009,NL,Adrian Gonzalez,San Diego,119.0
2010,AL,Daric Barton,Oakland,110.0
2010,NL,Prince Fielder,Milwaukee,114.0
2011,AL,Jose Bautista,Toronto,132.0
2011,NL,Joey Votto,Cincinnati,110.0
2012,AL,Adam Dunn,Chicago,105.0
2012,NL,Dan Uggla,Atlanta,94.0
2013,AL,Mike Trout,Los Angeles,110.0
2013,NL,Joey Votto,Cincinnati,135.0
2014,AL,Carlos Santana,Cleveland,113.0
2014,NL,Matt Carpenter,St. Louis,95.0
