Year,League,Player,Team,Triples
1955,NL,Dale Long,Pittsburgh,13.0
1956,AL,Jackie Jensen,Boston,11.0
1956,NL,Bill Bruton,Milwaukee,15.0
1957,AL,Hank Bauer,New York,9.0
1957,NL,Willie Mays,New York,20.0
1958,AL,Vic Power,Cleveland,10.0
1958,NL,Richie Ashburn,Philadelphia,13.0
1959,AL,Bob Allison,Washington,9.0
1959,NL,Wally Moon,Los Angeles,11.0
1960,AL,Nellie Fox,Chicago,10.0
1960,NL,Bill Bruton,Milwaukee,13.0
1961,AL,Jake Wood,Detroit,14.0
1961,NL,George Altman,Chicago,12.0
1962,AL,Gino Cimoli,Kansas City,15.0
1962,NL,Johnny Callison,Philadelphia,10.0
1963,AL,Zoilo Versalles,Minnesota,13.0
1963,NL,Vada Pinson,Cincinnati,14.0
1964,AL,Rich Rollins,Minnesota,10.0
1964,NL,Dick Allen,Philadelphia,13.0
1965,AL,Bert Campaneris,Kansas City,12.0
1965,NL,Johnny Callison,Philadelphia,16.0
1966,AL,Bobby Knoop,California,11.0
1966,NL,Tim McCarver,St. Louis,13.0
1967,AL,Paul Blair,Baltimore,12.0
1967,NL,Vada Pinson,Cincinnati,13.0
1968,AL,Jim Fregosi,California,13.0
1968,NL,Lou Brock,St. Louis,14.0
1969,AL,Del Unser,Washington,8.0
1969,NL,Roberto Clemente,Pittsburgh,12.0
1970,AL,Cesar Tovar,Minnesota,13.0
1970,NL,Willie Davis,Los Angeles,16.0
1971,AL,Freddie Patek,Kansas City,11.0
1971,NL,Roger Metzger,Houston,11.0
1972,AL,Carlton Fisk,Boston,9.0
1972,NL,Larry Bowa,Philadelphia,13.0
1973,AL,Al Bumbry,Baltimore,11.0
1973,NL,Roger Metzger,Houston,14.0
1974,AL,Mickey Rivers,California,11.0
1974,NL,Ralph Garr,Atlanta,17.0
1975,AL,George Brett,Kansas City,13.0
1975,NL,Ralph Garr,Atlanta,11.0
1976,AL,George Brett,Kansas City,14.0
1976,NL,Dave Cash,Philadelphia,12.0
1977,AL,Rod Carew,Minnesota,16.0
1977,NL,Garry Templeton,St. Louis,18.0
1978,AL,Jim Rice,Boston,15.0
1978,NL,Garry Templeton,St. Louis,13.0
1979,AL,George Brett,Kansas City,20.0
1979,NL,Garry Templeton,St. Louis,19.0
1980,AL,Alfredo Griffin,Toronto,15.0
1980,NL,Omar Moreno,Pittsburgh,13.0
1981,AL,John Castino,Minnesota,9.0
