Year,League,Player,Team,Triples
1953,NL,Jim Gilliam,Brooklyn,17
1954,AL,Minnie Minoso,Chicago,18
1954,NL,Willie Mays,New York,13
1955,AL,Andy Carey,New York,11
1955,NL,Dale Long,Pittsburgh,13
1956,AL,Jackie Jensen,Boston,11
1956,NL,Bill Bruton,Milwaukee,15
1957,AL,Hank Bauer,New York,9
1957,NL,Willie Mays,New York,20
1958,AL,Vic Power,Cleveland,10
1958,NL,Richie Ashburn,Philadelphia,13
1959,AL,Bob Allison,Washington,9
1959,NL,Wally Moon,Los Angeles,11
1960,AL,Nellie Fox,Chicago,10
1960,NL,Bill Bruton,Milwaukee,13
1961,AL,Jake Wood,Detroit,14
1961,NL,George Altman,Chicago,12
1962,AL,Gino Cimoli,Kansas City,15
1962,NL,Johnny Callison,Philadelphia,10
1963,AL,Zoilo Versalles,Minnesota,13
1963,NL,Vada Pinson,Cincinnati,14
1964,AL,Rich Rollins,Minnesota,10
1964,NL,Dick Allen,Philadelphia,13
1965,AL,Bert Campaneris,Kansas City,12
1965,NL,Johnny Callison,Philadelphia,16
1966,AL,Bobby Knoop,California,11
1966,NL,Tim McCarver,St. Louis,13
1967,AL,Paul Blair,Baltimore,12
1967,NL,Vada Pinson,Cincinnati,13
1968,AL,Jim Fregosi,California,13
1968,NL,Lou Brock,St. Louis,14
1969,AL,Del Unser,Washington,8
1969,NL,Roberto Clemente,Pittsburgh,12
1970,AL,Cesar Tovar,Minnesota,13
1970,NL,Willie Davis,Los Angeles,16
1971,AL,Freddie Patek,Kansas City,11
1971,NL,Roger Metzger,Houston,11
1972,AL,Carlton Fisk,Boston,9
1972,NL,Larry Bowa,Philadelphia,13
1973,AL,Al Bumbry,Baltimore,11
1973,NL,Roger Metzger,Houston,14
1974,AL,Mickey Rivers,California,11
1974,NL,Ralph Garr,Atlanta,17
1975,AL,George Brett,Kansas City,13
1975,NL,Ralph Garr,Atlanta,11
1976,AL,George Brett,Kansas City,14
1976,NL,Dave Cash,Philadelphia,12
1977,AL,Rod Carew,Minnesota,16
1977,NL,Garry Templeton,St. Louis,18
1978,AL,Jim Rice,Boston,15
1978,NL,Garry Templeton,St. Louis,13
1979,AL,George Brett,Kansas City,20
1979,NL,Garry Templeton,St. Louis,19
1980,AL,Alfredo Griffin,Toronto,15
1980,NL,Omar Moreno,Pittsburgh,13
1981,AL,John Castino,Minnesota,9
1981,NL,Craig Reynolds,Houston,12
1982,AL,Willie Wilson,Kansas City,15
1982,NL,Dickie Thon,Houston,10
1983,AL,Robin Yount,Milwaukee,10
1983,NL,Brett Butler,Atlanta,13
1984,AL,Dave Collins,Toronto,15
1984,NL,Juan Samuel,Philadelphia,19
1985,AL,Willie Wilson,Kansas City,21
1985,NL,Willie McGee,St. Louis,18
1986,AL,Brett Butler,Cleveland,14
1986,NL,Mitch Webster,Montreal,13
1987,AL,Willie Wilson,Kansas City,15
1987,NL,Juan Samuel,Philadelphia,15
1988,AL,Harold Reynolds,Seattle,11
1988,NL,Andy Van Slyke,Pittsburgh,15
1989,AL,Ruben Sierra,Texas,14
1989,NL,Robby Thompson,San Francisco,11
1990,AL,Tony Fernandez,Toronto,17
1990,NL,Mariano Duncan,Cincinnati,11
1991,AL,Lance Johnson,Chicago,13
1991,NL,Ray Lankford,St. Louis,15
1992,AL,Lance Johnson,Chicago,12
1992,NL,Deion Sanders,Atlanta,14
1993,AL,Lance Johnson,Chicago,14
1993,NL,Steve Finley,Houston,13
1994,AL,Lance Johnson,Chicago,14
1994,NL,Brett Butler,Los Angeles,9
1995,AL,Kenny Lofton,Cleveland,13
1995,NL,Brett Butler,Los Angeles,9
1996,AL,Chuck Knoblauch,Minnesota,14
1996,NL,Lance Johnson,New York,21
1997,AL,Nomar Garciaparra,Boston,11
1997,NL,Delino DeShields,St. Louis,14
1998,AL,Jose Offerman,Kansas City,13
1998,NL,David Dellucci,Arizona,12
1999,AL,Jose Offerman,Boston,11
1999,NL,Bobby Abreu,Philadelphia,11
2000,AL,Cristian Guzman,Minnesota,20
2000,NL,Tony Womack,Arizona,14
2001,AL,Cristian Guzman,Minnesota,14
2001,NL,Jimmy Rollins,Philadelphia,12
2002,AL,Johnny Damon,Boston,11
2002,NL,Jimmy Rollins,Philadelphia,10
2003,AL,Cristian Guzman,Minnesota,14
2003,NL,Steve Finley,Arizona,10
2004,AL,Carl Crawford,Tampa Bay,19
2004,NL,Juan Pierre,Florida,12
2005,AL,Carl Crawford,Tampa Bay,15
2005,NL,Jose Reyes,New York,17
2006,AL,Carl Crawford,Tampa Bay,16
2006,NL,Jose Reyes,New York,17
2007,AL,Curtis Granderson,Detroit,23
2007,NL,Jimmy Rollins,Philadelphia,20
2008,AL,Curtis Granderson,Detroit,13
2008,NL,Jose Reyes,New York,19
2009,AL,Jacoby Ellsbury,Boston,10
2009,NL,Shane Victorino,Philadelphia,13
2010,AL,Carl Crawford,Tampa Bay,13
2010,NL,Dexter Fowler,Colorado,14
2011,AL,Peter Bourjos,Los Angeles,11
2011,NL,Jose Reyes,New York,16
2012,AL,Austin Jackson,Detroit,10
2012,NL,Angel Pagan,San Francisco,15
2013,AL,Brett Gardner,New York,10
2013,NL,Denard Span,Washington,11
2014,AL,Michael Bourn,Cleveland,10
2014,NL,Dee Strange-Gordon,Los Angeles,12
2015,AL,Eddie Rosario,Minnesota,15
2015,NL,David Peralta,Arizona,10
2016,AL,Adam Eaton,Chicago,9
2016,NL,Brandon Crawford,San Francisco,11
2017,AL,Nick Castellanos,Detroit,10
2017,NL,Charlie Blackmon,Colorado,14
2018,AL,Yolmer Sanchez,Chicago,10
2018,NL,Ketel Marte,Arizona,12
2019,AL,Hunter Dozier,Kansas City,10
2019,NL,Eduardo Escobar,Arizona,10
2020,AL,Kyle Tucker,Houston,6
2020,NL,Trevor Story,Colorado,4
2021,AL,Shohei Ohtani,Los Angeles,8
2021,NL,David Peralta,Arizona,8
2022,AL,Amed Rosario,Cleveland,9
2022,NL,Gavin Lux,Los Angeles,7
2023,AL,Bobby Witt Jr.,Kansas City,11
2023,NL,Corbin Carroll,Arizona,10
2024,AL,Jarren Duran,Boston,14
2024,NL,Corbin Carroll,Arizona,14
2025,AL,Jarren Duran,Boston,7
2025,NL,Corbin Carroll,Arizona,8
Year,AL,American League,Team(s),Triples
Year,NL,National League,Team(s),Triples
