Year,League,Player,Team,Hits
1953,NL,Richie Ashburn,Philadelphia,205
1954,AL,Nellie Fox,Chicago,201
1954,NL,Don Mueller,New York,212
1955,AL,Al Kaline,Detroit,200
1955,NL,Ted Kluszewski,Cincinnati,192
1956,AL,Harvey Kuenn,Detroit,196
1956,NL,Hank Aaron,Milwaukee,200
1957,AL,Nellie Fox,Chicago,196
1957,NL,Red Schoendienst,Milwaukee,200
1958,AL,Nellie Fox,Chicago,187
1958,NL,Richie Ashburn,Philadelphia,215
1959,AL,Harvey Kuenn,Detroit,198
1959,NL,Hank Aaron,Milwaukee,223
1960,AL,Minnie Minoso,Chicago,184
1960,NL,Willie Mays,San Francisco,190
1961,AL,Norm Cash,Detroit,193
1961,NL,Vada Pinson,Cincinnati,208
1962,AL,Bobby Richardson,New York,209
1962,NL,Tommy Davis,Los Angeles,230
1963,AL,Carl Yastrzemski,Boston,183
1963,NL,Vada Pinson,Cincinnati,204
1964,AL,Tony Oliva,Minnesota,217
1964,NL,Roberto Clemente,Pittsburgh,211
1965,AL,Tony Oliva,Minnesota,185
1965,NL,Pete Rose,Cincinnati,209
1966,AL,Tony Oliva,Minnesota,191
1966,NL,Felipe Alou,Atlanta,218
1967,AL,Carl Yastrzemski,Boston,189
1967,NL,Roberto Clemente,Pittsburgh,209
1968,AL,Bert Campaneris,Oakland,177
1968,NL,Felipe Alou,Atlanta,210
1969,AL,Tony Oliva,Minnesota,197
1969,NL,Matty Alou,Pittsburgh,231
1970,AL,Tony Oliva,Minnesota,204
1970,NL,Pete Rose,Cincinnati,205
1971,AL,Cesar Tovar,Minnesota,204
1971,NL,Joe Torre,St. Louis,230
1972,AL,Joe Rudi,Oakland,181
1972,NL,Pete Rose,Cincinnati,198
1973,AL,Rod Carew,Minnesota,203
1973,NL,Pete Rose,Cincinnati,230
1974,AL,Rod Carew,Minnesota,218
1974,NL,Ralph Garr,Atlanta,214
1975,AL,George Brett,Kansas City,195
1975,NL,Dave Cash,Philadelphia,213
1976,AL,George Brett,Kansas City,215
1976,NL,Pete Rose,Cincinnati,215
1977,AL,Rod Carew,Minnesota,239
1977,NL,Dave Parker,Pittsburgh,215
1978,AL,Jim Rice,Boston,213
1978,NL,Steve Garvey,Los Angeles,202
1979,AL,George Brett,Kansas City,212
1979,NL,Garry Templeton,St. Louis,211
1980,AL,Willie Wilson,Kansas City,230
1980,NL,Steve Garvey,Los Angeles,200
1981,AL,Rickey Henderson,Oakland,135
1981,NL,Pete Rose,Philadelphia,140
1982,AL,Robin Yount,Milwaukee,210
1982,NL,Al Oliver,Montreal,204
1983,AL,Cal Ripken Jr.,Baltimore,211
1983,NL,Jose Cruz,Houston,189
1984,AL,Don Mattingly,New York,207
1984,NL,Tony Gwynn,San Diego,213
1985,AL,Wade Boggs,Boston,240
1985,NL,Willie McGee,St. Louis,216
1986,AL,Don Mattingly,New York,238
1986,NL,Tony Gwynn,San Diego,211
1987,AL,Kirby Puckett,Minnesota,207
1987,NL,Tony Gwynn,San Diego,218
1988,AL,Kirby Puckett,Minnesota,234
1988,NL,Andres Galarraga,Montreal,184
1989,AL,Kirby Puckett,Minnesota,215
1989,NL,Tony Gwynn,San Diego,203
1990,AL,Rafael Palmeiro,Texas,191
1990,NL,Brett Butler,San Francisco,192
1991,AL,Paul Molitor,Milwaukee,216
1991,NL,Terry Pendleton,Atlanta,187
1992,AL,Kirby Puckett,Minnesota,210
1992,NL,Terry Pendleton,Atlanta,199
1993,AL,Paul Molitor,Toronto,211
1993,NL,Lenny Dykstra,Philadelphia,194
1994,AL,Kenny Lofton,Cleveland,160
1994,NL,Tony Gwynn,San Diego,165
1995,AL,Lance Johnson,Chicago,186
1995,NL,Dante Bichette,Colorado,197
1996,AL,Paul Molitor,Minnesota,225
1996,NL,Lance Johnson,New York,227
1997,AL,Nomar Garciaparra,Boston,209
1997,NL,Tony Gwynn,San Diego,220
1998,AL,Alex Rodriguez,Seattle,213
1998,NL,Dante Bichette,Colorado,219
1999,AL,Derek Jeter,New York,219
1999,NL,Luis Gonzalez,Arizona,206
2000,AL,Darin Erstad,Anaheim,240
2000,NL,Todd Helton,Colorado,216
2001,AL,Ichiro Suzuki,Seattle,242
2001,NL,Rich Aurilia,San Francisco,206
2002,AL,Alfonso Soriano,New York,209
2002,NL,Vladimir Guerrero,Montreal,206
2003,AL,Vernon Wells,Toronto,215
2003,NL,Albert Pujols,St. Louis,212
2004,AL,Ichiro Suzuki,Seattle,262
2004,NL,Juan Pierre,Florida,221
2005,AL,Michael Young,Texas,221
2005,NL,Derrek Lee,Chicago,199
2006,AL,Ichiro Suzuki,Seattle,224
2006,NL,Juan Pierre,Chicago,204
2007,AL,Ichiro Suzuki,Seattle,238
2007,NL,Matt Holliday,Colorado,216
2008,AL,Dustin Pedroia,Boston,213
2008,NL,Jose Reyes,New York,204
2009,AL,Ichiro Suzuki,Seattle,225
2009,NL,Ryan Braun,Milwaukee,203
2010,AL,Ichiro Suzuki,Seattle,214
2010,NL,Carlos González,Colorado,197
2011,AL,Adrian Gonzalez,Boston,213
2011,NL,Starlin Castro,Chicago,207
2012,AL,Derek Jeter,New York,216
2012,NL,Andrew McCutchen,Pittsburgh,194
2013,AL,Adrián Beltré,Texas,199
2013,NL,Matt Carpenter,St. Louis,199
2014,AL,Jose Altuve,Houston,225
2014,NL,Ben Revere,Philadelphia,184
2015,AL,Jose Altuve,Houston,200
2015,NL,Dee Strange-Gordon,Miami,205
2016,AL,Jose Altuve,Houston,216
2016,NL,Jean Segura,Arizona,203
2017,AL,Jose Altuve,Houston,204
2017,NL,Charlie Blackmon,Colorado,213
2018,AL,Whit Merrifield,Kansas City,192
2018,NL,Freddie Freeman,Atlanta,191
2019,AL,Whit Merrifield,Kansas City,206
2019,NL,Ozzie Albies,Atlanta,189
2020,AL,José Abreu,Chicago,76
2020,NL,Trea Turner,Washington,78
2021,AL,Bo Bichette,Toronto,191
2021,NL,Trea Turner,Los Angeles,195
2022,AL,Bo Bichette,Toronto,189
2022,NL,Freddie Freeman,Los Angeles,199
2023,AL,Marcus Semien,Texas,185
2023,NL,Ronald Acuña Jr.,Atlanta,217
2024,AL,Bobby Witt Jr.,Kansas City,211
2024,NL,Luis Arraez,Miami,200
2025,AL,Aaron Judge,New York,99
2025,NL,Trea Turner,Philadelphia,85
Year,AL,American League,Team(s),Hits
Year,NL,National League,Team(s),Hits
