Year,League,Player,Team,Base on Balls
1955,NL,Eddie Mathews,Milwaukee,109
1956,AL,Eddie Yost,Washington,151
1956,NL,Duke Snider,Brooklyn,99
1957,AL,Mickey Mantle,New York,146
1957,NL,Richie Ashburn,Philadelphia,94
1958,AL,Mickey Mantle,New York,129
1958,NL,Richie Ashburn,Philadelphia,97
1959,AL,Eddie Yost,Detroit,135
1959,NL,Jim Gilliam,Los Angeles,96
1960,AL,Eddie Yost,Detroit,125
1960,NL,Richie Ashburn,Chicago,116
1961,AL,Mickey Mantle,New York,126
1961,NL,Eddie Mathews,Milwaukee,93
1962,AL,Mickey Mantle,New York,122
1962,NL,Eddie Mathews,Milwaukee,101
1963,AL,Carl Yastrzemski,Boston,95
1963,NL,Eddie Mathews,Milwaukee,124
1964,AL,Norm Siebern,Baltimore,106
1964,NL,Ron Santo,Chicago,86
1965,AL,Rocky Colavito,Cleveland,93
1965,NL,Joe Morgan,Houston,97
1966,AL,Harmon Killebrew,Minnesota,103
1966,NL,Ron Santo,Chicago,95
1967,AL,Harmon Killebrew,Minnesota,131
1967,NL,Ron Santo,Chicago,96
1968,AL,Carl Yastrzemski,Boston,119
1968,NL,Ron Santo,Chicago,96
1969,AL,Harmon Killebrew,Minnesota,145
1969,NL,Jimmy Wynn,Houston,148
1970,AL,Frank Howard,Washington,132
1970,NL,Willie McCovey,San Francisco,137
1971,AL,Harmon Killebrew,Minnesota,114
1971,NL,Willie Mays,San Francisco,112
1972,AL,Dick Allen,Chicago,99
1972,NL,Joe Morgan,Cincinnati,115
1973,AL,John Mayberry,Kansas City,122
1973,NL,Darrell Evans,Atlanta,124
1974,AL,Gene Tenace,Oakland,110
1974,NL,Darrell Evans,Atlanta,126
1975,AL,John Mayberry,Kansas City,119
1975,NL,Joe Morgan,Cincinnati,132
1976,AL,Mike Hargrove,Texas,97
1976,NL,Jimmy Wynn,Atlanta,127
1977,AL,Toby Harrah,Texas,109
1977,NL,Gene Tenace,San Diego,125
1978,AL,Mike Hargrove,Texas,107
1978,NL,Jeff Burroughs,Atlanta,117
1979,AL,Darrell Porter,Kansas City,121
1979,NL,Mike Schmidt,Philadelphia,120
1980,AL,Willie Randolph,New York,119
1980,NL,Dan Driessen,Cincinnati,93
1981,AL,Dwight Evans,Boston,85
1981,NL,Mike Schmidt,Philadelphia,73
1982,AL,Rickey Henderson,Oakland,116
1982,NL,Mike Schmidt,Philadelphia,107
1983,AL,Rickey Henderson,Oakland,103
1983,NL,Mike Schmidt,Philadelphia,128
1984,AL,Eddie Murray,Baltimore,107
1984,NL,Gary Matthews,Chicago,103
1985,AL,Dwight Evans,Boston,114
1985,NL,Dale Murphy,Atlanta,90
1986,AL,Wade Boggs,Boston,105
1986,NL,Keith Hernandez,New York,94
1987,AL,Brian Downing,California,106
1987,NL,Jack Clark,St. Louis,136
1988,AL,Wade Boggs,Boston,125
1988,NL,Will Clark,San Francisco,100
1989,AL,Rickey Henderson,New York,126
1989,NL,Jack Clark,San Diego,132
1990,AL,Mark McGwire,Oakland,110
1990,NL,Jack Clark,San Diego,104
1991,AL,Frank Thomas,Chicago,138
1991,NL,Brett Butler,Los Angeles,108
1992,AL,Mickey Tettleton,Detroit,122
1992,NL,Barry Bonds,Pittsburgh,127
1993,AL,Tony Phillips,Detroit,132
1993,NL,Lenny Dykstra,Philadelphia,129
1994,AL,Frank Thomas,Chicago,109
1994,NL,Barry Bonds,San Francisco,74
1995,AL,Frank Thomas,Chicago,136
1995,NL,Barry Bonds,San Francisco,120
1996,AL,Tony Phillips,Chicago,125
1996,NL,Barry Bonds,San Francisco,151
1997,AL,Jim Thome,Cleveland,120
1997,NL,Barry Bonds,San Francisco,145
1998,AL,Rickey Henderson,Oakland,118
1998,NL,Mark McGwire,St. Louis,162
1999,AL,Jim Thome,Cleveland,127
1999,NL,Jeff Bagwell,Houston,149
2000,AL,Jason Giambi,Oakland,137
2000,NL,Barry Bonds,San Francisco,117
2001,AL,Jason Giambi,Oakland,129
2001,NL,Barry Bonds,San Francisco,177
2002,AL,Jim Thome,Cleveland,122
2002,NL,Barry Bonds,San Francisco,198
2003,AL,Jason Giambi,New York,129
2003,NL,Barry Bonds,San Francisco,148
2004,AL,Eric Chavez,Oakland,95
2004,NL,Barry Bonds,San Francisco,232
2005,AL,Jason Giambi,New York,108
2005,NL,Brian Giles,San Diego,119
2006,AL,David Ortiz,Boston,119
2006,NL,Barry Bonds,San Francisco,115
2007,AL,David Ortiz,Boston,111
2007,NL,Barry Bonds,San Francisco,132
2008,AL,Jack Cust,Oakland,111
2008,NL,Adam Dunn,Arizona,122
2009,AL,Chone Figgins,Los Angeles,101
2009,NL,Adrian Gonzalez,San Diego,119
2010,AL,Daric Barton,Oakland,110
2010,NL,Prince Fielder,Milwaukee,114
2011,AL,Jose Bautista,Toronto,132
2011,NL,Joey Votto,Cincinnati,110
2012,AL,Adam Dunn,Chicago,105
2012,NL,Dan Uggla,Atlanta,94
2013,AL,Mike Trout,Los Angeles,110
2013,NL,Joey Votto,Cincinnati,135
2014,AL,Carlos Santana,Cleveland,113
2014,NL,Matt Carpenter,St. Louis,95
2015,AL,Jose Bautista,Toronto,110
2015,NL,Joey Votto,Cincinnati,143
2016,AL,Mike Trout,Los Angeles,116
2016,NL,Paul Goldschmidt,Arizona,110
2017,AL,Aaron Judge,New York,127
2017,NL,Joey Votto,Cincinnati,134
2018,AL,Mike Trout,Los Angeles,122
2018,NL,Bryce Harper,Washington,130
2019,AL,Alex Bregman,Houston,119
2019,NL,Rhys Hoskins,Philadelphia,116
2020,AL,Carlos Santana,Cleveland,47
2020,NL,Bryce Harper,Philadelphia,49
2021,AL,Joey Gallo,New York,111
2021,NL,Juan Soto,Washington,145
2022,AL,Aaron Judge,New York,111
2022,NL,Juan Soto,San Diego,135
2023,AL,J.P. Crawford,Seattle,94
2023,NL,Juan Soto,San Diego,132
2024,AL,Aaron Judge,New York,133
2024,NL,Kyle Schwarber,Philadelphia,106
2025,AL,Rafael Devers,Boston,56
2025,NL,Juan Soto,New York,60
Year,AL,American League,Team(s),BB
Year,NL,National League,Team(s),BB
