Year,League,Player,Team,Stolen Bases
1956,NL,Willie Mays,New York,40
1957,AL,Luis Aparicio,Chicago,28
1957,NL,Willie Mays,New York,38
1958,AL,Luis Aparicio,Chicago,29
1958,NL,Willie Mays,San Francisco,31
1959,AL,Luis Aparicio,Chicago,56
1959,NL,Willie Mays,San Francisco,27
1960,AL,Luis Aparicio,Chicago,51
1960,NL,Maury Wills,Los Angeles,50
1961,AL,Luis Aparicio,Chicago,53
1961,NL,Maury Wills,Los Angeles,35
1962,AL,Luis Aparicio,Chicago,31
1962,NL,Maury Wills,Los Angeles,104
1963,AL,Luis Aparicio,Baltimore,40
1963,NL,Maury Wills,Los Angeles,40
1964,AL,Luis Aparicio,Baltimore,57
1964,NL,Maury Wills,Los Angeles,53
1965,AL,Bert Campaneris,Kansas City,51
1965,NL,Maury Wills,Los Angeles,94
1966,AL,Bert Campaneris,Kansas City,52
1966,NL,Lou Brock,St. Louis,74
1967,AL,Bert Campaneris,Kansas City,55
1967,NL,Lou Brock,St. Louis,52
1968,AL,Bert Campaneris,Oakland,62
1968,NL,Lou Brock,St. Louis,62
1969,AL,Tommy Harper,Seattle,73
1969,NL,Lou Brock,St. Louis,53
1970,AL,Bert Campaneris,Oakland,42
1970,NL,Bobby Tolan,Cincinnati,57
1971,AL,Amos Otis,Kansas City,52
1971,NL,Lou Brock,St. Louis,64
1972,AL,Bert Campaneris,Oakland,52
1972,NL,Lou Brock,St. Louis,63
1973,AL,Tommy Harper,Boston,54
1973,NL,Lou Brock,St. Louis,70
1974,AL,Bill North,Oakland,54
1974,NL,Lou Brock,St. Louis,118
1975,AL,Mickey Rivers,California,70
1975,NL,Davey Lopes,Los Angeles,77
1976,AL,Bill North,Oakland,75
1976,NL,Davey Lopes,Los Angeles,63
1977,AL,Freddie Patek,Kansas City,53
1977,NL,Frank Taveras,Pittsburgh,70
1978,AL,Ron LeFlore,Detroit,68
1978,NL,Omar Moreno,Pittsburgh,71
1979,AL,Willie Wilson,Kansas City,83
1979,NL,Omar Moreno,Pittsburgh,77
1980,AL,Rickey Henderson,Oakland,100
1980,NL,Ron LeFlore,Montreal,97
1981,AL,Rickey Henderson,Oakland,56
1981,NL,Tim Raines,Montreal,71
1982,AL,Rickey Henderson,Oakland,130
1982,NL,Tim Raines,Montreal,78
1983,AL,Rickey Henderson,Oakland,108
1983,NL,Tim Raines,Montreal,90
1984,AL,Rickey Henderson,Oakland,66
1984,NL,Tim Raines,Montreal,75
1985,AL,Rickey Henderson,New York,80
1985,NL,Vince Coleman,St. Louis,110
1986,AL,Rickey Henderson,New York,87
1986,NL,Vince Coleman,St. Louis,107
1987,AL,Harold Reynolds,Seattle,60
1987,NL,Vince Coleman,St. Louis,109
1988,AL,Rickey Henderson,New York,93
1988,NL,Vince Coleman,St. Louis,81
1989,AL,Rickey Henderson,New York,77
1989,NL,Vince Coleman,St. Louis,65
1990,AL,Rickey Henderson,Oakland,65
1990,NL,Vince Coleman,St. Louis,77
1991,AL,Rickey Henderson,Oakland,58
1991,NL,Marquis Grissom,Montreal,76
1992,AL,Kenny Lofton,Cleveland,66
1992,NL,Marquis Grissom,Montreal,78
1993,AL,Kenny Lofton,Cleveland,70
1993,NL,Chuck Carr,Florida,58
1994,AL,Kenny Lofton,Cleveland,60
1994,NL,Craig Biggio,Houston,39
1995,AL,Kenny Lofton,Cleveland,54
1995,NL,Quilvio Veras,Florida,56
1996,AL,Kenny Lofton,Cleveland,75
1996,NL,Eric Young,Colorado,53
1997,AL,Brian Hunter,Detroit,74
1997,NL,Tony Womack,Pittsburgh,60
1998,AL,Rickey Henderson,Oakland,66
1998,NL,Tony Womack,Pittsburgh,58
1999,AL,Brian Hunter,Detroit,44
1999,NL,Tony Womack,Arizona,72
2000,AL,Johnny Damon,Kansas City,46
2000,NL,Luis Castillo,Florida,62
